Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
St Albans,62 Lester Av,4,h,520000,PI,Westside,15/07/2017,14,3021,4,2,1,699,110,1950,Brimbank City Council,-37.73986,144.81105,Western Metropolitan,14042
St Albans,89 Theodore St,2,h,,PI,Barry,15/07/2017,14,3021,2,1,0,607,,,Brimbank City Council,-37.73054,144.79997,Western Metropolitan,14042
St Albans,91 Theodore St,2,h,,PI,Barry,15/07/2017,14,3021,2,1,0,585,,,Brimbank City Council,-37.7304,144.8,Western Metropolitan,14042
St Helena,14 Covala Ct,3,h,805000,S,Darren,15/07/2017,16.1,3088,3,1,0,930,,,Banyule City Council,-37.6939,145.12899,Eastern Metropolitan,915
St Kilda,8/289 Barkly St,2,u,470000,VB,McGrath,15/07/2017,5,3182,2,1,0,0,67,1950,Port Phillip City Council,-37.87349,144.9798,Southern Metropolitan,13240
St Kilda,46 Chapel St,3,h,1000000,S,Langwell,15/07/2017,5,3182,3,1,1,198,,,Port Phillip City Council,-37.86566,144.99104,Southern Metropolitan,13240
St Kilda,407/7 Greeves St,2,u,630000,S,hockingstuart,15/07/2017,5,3182,,,,,,,Port Phillip City Council,-37.86516,144.98315,Southern Metropolitan,13240
St Kilda,11/27 Mitford St,2,u,580000,S,Woodards,15/07/2017,5,3182,,,,,,,Port Phillip City Council,-37.87243,144.98176,Southern Metropolitan,13240
St Kilda,24/25 Robe St,2,u,,SP,Ray,15/07/2017,5,3182,2,1,1,840,46,,Port Phillip City Council,-37.86484,144.97813,Southern Metropolitan,13240
Sunshine,18 Benjamin St,3,h,860000,PI,Jas,15/07/2017,10.5,3020,3,1,3,446,126,1910,Brimbank City Council,-37.79354,144.8328,Western Metropolitan,3755
Sunshine,2/2 Cooper St,3,h,532000,S,Douglas,15/07/2017,10.5,3020,3,1,1,206,,1985,Brimbank City Council,-37.7864,144.8402,Western Metropolitan,3755
Sunshine,10 Matthews St,3,h,960000,S,RW,15/07/2017,10.5,3020,3,2,2,655,,,Brimbank City Council,-37.79352,144.84318,Western Metropolitan,3755
Sunshine,3 Whitty St,4,h,745500,S,Sweeney,15/07/2017,10.5,3020,4,2,1,,,,Brimbank City Council,-37.78825,144.8353,Western Metropolitan,3755
Sunshine North,3/30 Camperdown Av,3,u,392500,S,Jas,15/07/2017,10.5,3020,,,,,,,Brimbank City Council,,,Western Metropolitan,4217
Sunshine West,4 Barnes Cr,3,h,630000,S,Bells,15/07/2017,10.5,3020,3,1,5,626,,,Brimbank City Council,-37.80099,144.81178,Western Metropolitan,6763
Sunshine West,27 Champa Rd,4,h,580000,PI,Douglas,15/07/2017,10.5,3020,4,2,4,270,,,Brimbank City Council,-37.7944,144.79413,Western Metropolitan,6763
Sunshine West,1 Raymond St,3,h,,PI,Barry,15/07/2017,10.5,3020,3,1,1,567,,,Brimbank City Council,-37.79058,144.80925,Western Metropolitan,6763
Sydenham,30 Chandos St,3,t,450000,SP,Brad,15/07/2017,18,3037,,,,,,,Brimbank City Council,,,Western Metropolitan,3640
Taylors Lakes,1 Cowes Pl,4,h,853000,S,Barry,15/07/2017,15.5,3038,4,3,2,724,330,1990,Brimbank City Council,-37.70941,144.7873,Western Metropolitan,5336
Taylors Lakes,3 Mantaura Av,4,h,704000,S,Barry,15/07/2017,15.5,3038,4,2,2,644,,,Brimbank City Council,-37.71128,144.80686,Western Metropolitan,5336
Thomastown,28 Pleasant Rd,4,h,,SN,Barry,15/07/2017,15.3,3074,4,2,1,725,,,Whittlesea City Council,-37.67693,145.0114,Northern Metropolitan,7955
Thomastown,52 Richardson St,3,h,508000,S,Harcourts,15/07/2017,15.3,3074,3,2,1,189,,,Whittlesea City Council,-37.68159,145.0371,Northern Metropolitan,7955
Thomastown,1/13 Spring St,2,u,573000,S,Harcourts,15/07/2017,15.3,3074,,,,,,,Whittlesea City Council,,,Northern Metropolitan,7955
Thornbury,348 Gooch St,3,h,800000,SP,McGrath,15/07/2017,7,3071,,,,,,,Darebin City Council,,,Northern Metropolitan,8870
Thornbury,352 Gooch St,3,h,800000,SP,McGrath,15/07/2017,7,3071,,,,,,,Darebin City Council,,,Northern Metropolitan,8870
Thornbury,54 Swift St,3,h,1236000,S,hockingstuart,15/07/2017,7,3071,3,1,1,508,,,Darebin City Council,-37.76202,145.01772,Northern Metropolitan,8870
Thornbury,12/45 Woolton Av,1,u,328000,S,Woodards,15/07/2017,7,3071,1,1,1,1047,,1970,Darebin City Council,-37.76105,144.99532,Northern Metropolitan,8870
Toorak,2/619 Toorak Rd,2,u,1140000,S,Marshall,15/07/2017,4.1,3142,2,2,2,586,119,1990,Stonnington City Council,-37.84266,145.02355,Southern Metropolitan,7217
Toorak,1a Woorigoleen Rd,4,h,,S,Marshall,15/07/2017,4.1,3142,4,5,4,597,,1960,Stonnington City Council,-37.84342,145.01694,Southern Metropolitan,7217
Travancore,2115/18 Mt Alexander Rd,2,u,341500,S,McGrath,15/07/2017,4.3,3032,2,1,1,16000,68.5,2012,Moonee Valley City Council,-37.78466,144.93829,Western Metropolitan,1052
Tullamarine,2/28 Broadmeadows Rd,2,u,470000,SP,Barry,15/07/2017,12.9,3043,2,1,1,161,,1960,Brimbank City Council,-37.70586,144.87947,Western Metropolitan,3296
Tullamarine,3/20 Waratah Av,2,u,,SP,Barry,15/07/2017,12.9,3043,2,1,1,201,108,2000,Brimbank City Council,-37.70496,144.88314,Western Metropolitan,3296
Vermont,18 Barbara St,3,h,1111500,S,Philip,15/07/2017,17.2,3133,3,1,0,722,94,1960,Maroondah City Council,-37.8324,145.20467,Eastern Metropolitan,4181
Viewbank,23 Bartram Ri,3,h,868000,S,Miles,15/07/2017,8.9,3084,,,,,,,Banyule City Council,,,Eastern Metropolitan,2698
Wantirna,509 Boronia Rd,4,h,1214000,S,Ray,15/07/2017,14.7,3152,4,1,2,734,,,Knox City Council,-37.85209,145.24268,Eastern Metropolitan,5424
Wantirna South,42 Argyle Wy,4,h,1045000,S,Noel,15/07/2017,14.7,3152,4,3,2,728,153,1990,Knox City Council,-37.88009,145.22736,Eastern Metropolitan,7082
Wantirna South,12/440 Stud Rd,3,u,622000,S,Ray,15/07/2017,14.7,3152,3,1,1,137,71,2012,Knox City Council,-37.87615,145.23192,Eastern Metropolitan,7082
Warrandyte,24 Fossickers Wy,3,h,826000,S,Gardiner,15/07/2017,21.1,3113,3,2,0,830,135,1975,Manningham City Council,-37.75079,145.20617,Eastern Metropolitan,2003
Waterways,7 Portland Pl,4,h,1265000,S,Ray,15/07/2017,21.5,3195,4,2,2,604,,,Kingston City Council,-38.01347,145.12675,South-Eastern Metropolitan,709
Watsonia,2/63 Devonshire Rd,2,u,604000,S,Ray,15/07/2017,14.5,3087,2,1,1,151,,,Banyule City Council,-37.71298,145.08115,Northern Metropolitan,2329
Watsonia,1/34 Longmuir Rd,2,u,655000,S,Darren,15/07/2017,14.5,3087,2,1,1,298,98,1975,Banyule City Council,-37.71098,145.08926,Northern Metropolitan,2329
Watsonia,4/6 Powley Pde,3,t,850000,SP,Buckingham,15/07/2017,14.5,3087,,,,,,,Banyule City Council,,,Northern Metropolitan,2329
Watsonia North,280 Grimshaw St,3,h,740000,SP,Barry,15/07/2017,14.5,3087,4,1,2,909,,,Banyule City Council,-37.70255,145.08578,Northern Metropolitan,1442
Werribee,7 Carey Cl,5,h,,SP,Ray,15/07/2017,14.7,3030,5,2,3,809,181,1980,Wyndham City Council,-37.89278,144.63568,Western Metropolitan,16166
Werribee,6 Cassowary Av,3,h,505000,SP,Greg,15/07/2017,14.7,3030,3,2,4,557,116,1987,Wyndham City Council,-37.87975,144.66459,Western Metropolitan,16166
Werribee,3 Gavan Ct,3,h,570000,S,S&L,15/07/2017,14.7,3030,3,1,3,909,,1965,Wyndham City Council,-37.89074,144.65677,Western Metropolitan,16166
Werribee,9 Kestrel Pl,3,h,453000,S,YPA,15/07/2017,14.7,3030,3,1,3,575,,,Wyndham City Council,-37.87628,144.66481,Western Metropolitan,16166
Werribee,2/50 Tower Rd,2,h,335000,S,Greg,15/07/2017,14.7,3030,2,1,1,190,113,1980,Wyndham City Council,-37.90423,144.67008,Western Metropolitan,16166
West Footscray,3/30 Beaumont Pde,1,h,280000,VB,Jas,15/07/2017,6.4,3012,1,1,1,45,,1970,Maribyrnong City Council,-37.80728,144.86702,Western Metropolitan,5058
West Footscray,41 Dongola Rd,4,h,955000,S,Jas,15/07/2017,6.4,3012,4,1,3,459,,,Maribyrnong City Council,-37.79433,144.88001,Western Metropolitan,5058
West Footscray,208/432 Geelong Rd,2,u,,PI,Compton,15/07/2017,6.4,3012,,,,,,,Maribyrnong City Council,,,Western Metropolitan,5058
West Footscray,5/2 Ormond Rd,3,t,700000,S,Jas,15/07/2017,6.4,3012,3,2,2,125,131,2013,Maribyrnong City Council,-37.80735,144.87361,Western Metropolitan,5058
West Melbourne,310/53 Batman St,1,u,380000,SP,MICM,15/07/2017,3.1,3003,1,1,0,68,,,Melbourne City Council,-37.81096,144.95147,Northern Metropolitan,2230
West Melbourne,74 Dudley St,4,h,1900000,VB,Whiting,15/07/2017,3.1,3003,4,1,2,168,,,Melbourne City Council,-37.80884,144.95291,Northern Metropolitan,2230
Westmeadows,27 Eyre St,3,h,800000,S,YPA,15/07/2017,16.5,3049,3,2,2,898,142,1985,Hume City Council,-37.67823,144.90002,Northern Metropolitan,2474
Wheelers Hill,994 Waverley Rd,5,h,1090000,S,Ray,15/07/2017,16.7,3150,5,2,2,698,246,1978,Monash City Council,-37.8921,145.19118,South-Eastern Metropolitan,7392
Williamstown,47 Pasco St,4,h,1920000,SP,Williams,15/07/2017,6.8,3016,4,2,0,388,178,1900,Hobsons Bay City Council,-37.86159,144.89926,Western Metropolitan,6380
Windsor,19 Atkinson Cl,3,h,,PI,Hodges,15/07/2017,4.6,3181,3,2,3,152,,1996,Port Phillip City Council,-37.85696,144.9966,Southern Metropolitan,4380
Wollert,24 Edenvale Bvd,4,h,530000,SP,hockingstuart,15/07/2017,25.5,3750,4,2,2,448,155,2011,Whittlesea City Council,-37.61944,145.01243,Northern Metropolitan,2940
Wollert,13 Strathalbyn Ch,4,h,631000,PI,hockingstuart,15/07/2017,25.5,3750,4,2,2,400,184,2015,Whittlesea City Council,,,Northern Metropolitan,2940
Wollert,12 Suffolk Pl,4,h,,PI,Harcourts,15/07/2017,25.5,3750,4,2,2,400,168,2011,Whittlesea City Council,-37.60994,145.03219,Northern Metropolitan,2940
Wyndham Vale,3/20 Lady Penrhyn Dr,2,h,327500,S,hockingstuart,15/07/2017,27.2,3024,,,,,,,Wyndham City Council,,,Western Metropolitan,5262
Wyndham Vale,27 Ribblesdale Av,3,h,,SN,Barry,15/07/2017,27.2,3024,3,1,2,557,106,1970,Wyndham City Council,-37.89561,144.61726,Western Metropolitan,5262
Yallambie,1 Bimbadeen Cr,3,h,,PI,Darren,15/07/2017,12.7,3085,3,1,1,530,,,Banyule City Council,-37.72496,145.10413,Northern Metropolitan,1369
Yarraville,17 Adeney St,3,h,982500,S,Village,15/07/2017,6.3,3013,3,2,2,444,122,1945,Maribyrnong City Council,-37.81662,144.866,Western Metropolitan,6543
Yarraville,72 Bishop St,3,h,1400000,S,Jas,15/07/2017,6.3,3013,3,3,6,668,,1990,Maribyrnong City Council,-37.81381,144.87438,Western Metropolitan,6543
Yarraville,86 Francis St,3,h,1042000,SP,Jas,15/07/2017,6.3,3013,3,1,1,358,,,Maribyrnong City Council,-37.82116,144.89181,Western Metropolitan,6543
Yarraville,12 Montague St,3,h,1230000,S,Jas,15/07/2017,6.3,3013,3,1,2,433,144,1880,Maribyrnong City Council,-37.81183,144.88569,Western Metropolitan,6543
Yarraville,220 Roberts St,3,h,1005000,S,Jas,15/07/2017,6.3,3013,3,1,2,451,,,Maribyrnong City Council,-37.81796,144.8681,Western Metropolitan,6543
Abbotsford,101 Charles St,2,h,911000,S,Purplebricks,22/07/2017,3,3067,2,1,0,141,,,Yarra City Council,-37.80586,144.99499,Northern Metropolitan,4019
Abbotsford,133 Yarra St,2,h,1190000,S,Biggin,22/07/2017,3,3067,2,2,1,147,175,2000,Yarra City Council,-37.80269,145.0001,Northern Metropolitan,4019
Aberfeldie,45 Afton St,3,h,2050000,SP,McDonald,22/07/2017,7.5,3040,3,2,6,402,,,Moonee Valley City Council,-37.76027,144.88954,Western Metropolitan,1543
Aberfeldie,45A Afton St,3,h,,PN,McDonald,22/07/2017,7.5,3040,3,3,2,401,291,2009,Moonee Valley City Council,-37.76035,144.88953,Western Metropolitan,1543
Aberfeldie,5 Aroona Ct,3,h,1680000,SP,Raine,22/07/2017,7.5,3040,3,2,2,673,136,1965,Moonee Valley City Council,-37.76316,144.89799,Western Metropolitan,1543
Aberfeldie,4/37 St Kinnord St,1,u,280000,VB,Nelson,22/07/2017,7.5,3040,1,1,1,0,,1970,Moonee Valley City Council,-37.75875,144.9027,Western Metropolitan,1543
Aberfeldie,6/39 St Kinnord St,1,u,310000,S,Brad,22/07/2017,7.5,3040,1,1,1,1715,,1970,Moonee Valley City Council,-37.75882,144.9027,Western Metropolitan,1543
Aberfeldie,18 Valencia St,5,h,1472000,S,Rendina,22/07/2017,7.5,3040,5,3,2,486,,,Moonee Valley City Council,-37.76111,144.89845,Western Metropolitan,1543
Airport West,11 Bedford St,3,h,,SN,Sweeney,22/07/2017,10.4,3042,3,1,1,307,,1950,Moonee Valley City Council,-37.72091,144.87856,Western Metropolitan,3464
Airport West,6/6 Etzel St,2,u,454000,S,Nelson,22/07/2017,10.4,3042,2,1,1,182,,1985,Moonee Valley City Council,-37.72158,144.8801,Western Metropolitan,3464
Airport West,3/81 McIntosh St,3,u,635000,S,Nelson,22/07/2017,10.4,3042,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464
Altona,16 Cain Ct,3,h,1005000,SP,Barlow,22/07/2017,11,3018,3,1,2,636,,,Hobsons Bay City Council,-37.86317,144.83927,Western Metropolitan,5301
Altona,1/26 Maidstone St,4,t,820000,SP,hockingstuart,22/07/2017,11,3018,4,2,2,288,,1970,Hobsons Bay City Council,-37.87171,144.81273,Western Metropolitan,5301
Altona,72 McIntyre Dr,3,h,,SP,hockingstuart,22/07/2017,11,3018,3,1,3,529,110,1970,Hobsons Bay City Council,-37.8581,144.82412,Western Metropolitan,5301
Altona,174 Queen St,3,h,,SP,RT,22/07/2017,11,3018,3,2,6,742,,1990,Hobsons Bay City Council,-37.8703,144.82336,Western Metropolitan,5301
Altona,64 Queen St,4,h,1360000,S,Greg,22/07/2017,11,3018,4,2,4,615,,,Hobsons Bay City Council,-37.87057,144.83623,Western Metropolitan,5301
Altona,6 Rose St,3,h,950000,SP,Barlow,22/07/2017,11,3018,3,1,1,399,,,Hobsons Bay City Council,-37.87115,144.8189,Western Metropolitan,5301
Altona Meadows,52 Shirley St,3,h,620000,S,hockingstuart,22/07/2017,15.5,3028,3,1,2,466,107,1975,Hobsons Bay City Council,-37.87019,144.7843,Western Metropolitan,7630
Altona North,12 Chambers Rd,3,h,830000,SP,RT,22/07/2017,9.4,3025,3,2,2,529,130,1965,Hobsons Bay City Council,-37.84107,144.84179,Western Metropolitan,5132
Altona North,131 Chambers Rd,3,h,730000,S,Greg,22/07/2017,9.4,3025,3,1,1,276,,,Hobsons Bay City Council,-37.82787,144.84364,Western Metropolitan,5132
Altona North,313 Millers Rd,4,h,805000,S,Sweeney,22/07/2017,9.4,3025,4,2,5,562,146,1950,Hobsons Bay City Council,-37.84384,144.84637,Western Metropolitan,5132
Altona North,2/16 Stapley Cr,2,h,510000,S,Sweeney,22/07/2017,9.4,3025,2,1,1,170,100,2001,Hobsons Bay City Council,-37.83658,144.86199,Western Metropolitan,5132
Ardeer,48 McLaughlin St,3,h,645000,S,Barry,22/07/2017,12.8,3022,3,1,1,603,,,Brimbank City Council,-37.78104,144.80357,Western Metropolitan,1281
Armadale,2/579 Dandenong Rd,2,u,,SP,hockingstuart,22/07/2017,6.3,3143,2,1,1,0,,,Stonnington City Council,-37.86462,145.02469,Southern Metropolitan,4836
Armadale,16/74 Denbigh Rd,2,u,486000,S,hockingstuart,22/07/2017,6.3,3143,2,1,2,0,63,1960,Stonnington City Council,-37.85549,145.0163,Southern Metropolitan,4836
Ascot Vale,2/41 Sandown Rd,3,t,855000,S,Alexkarbon,22/07/2017,4.3,3032,3,1,2,159,129,2011,Moonee Valley City Council,-37.78329,144.91842,Western Metropolitan,6567
Ascot Vale,67 The Parade,2,h,1035000,S,Alexkarbon,22/07/2017,4.3,3032,2,1,1,319,117,1900,Moonee Valley City Council,-37.77266,144.9131,Western Metropolitan,6567
Ascot Vale,85 The Parade,3,h,1310000,S,Brad,22/07/2017,4.3,3032,3,1,2,523,,,Moonee Valley City Council,-37.77255,144.91213,Western Metropolitan,6567
Ashburton,13 Baird St,3,h,,SA,Buxton,22/07/2017,10.2,3147,3,1,1,634,,,Boroondara City Council,-37.86904,145.07691,Southern Metropolitan,3052
Ashwood,5 Kiewa St,4,h,1450000,S,Fletchers,22/07/2017,10.2,3147,4,2,1,803,154,1965,Monash City Council,-37.86162,145.11042,Southern Metropolitan,2894
Ashwood,47B Vannam Dr,3,t,1060000,S,Buxton,22/07/2017,10.2,3147,3,2,2,343,1,2000,Monash City Council,-37.86324,145.10289,Southern Metropolitan,2894
Aspendale,14 Ebb St,3,h,970000,VB,hockingstuart,22/07/2017,21.5,3195,4,2,2,612,154,1960,Kingston City Council,-38.01596,145.09932,South-Eastern Metropolitan,2824
Aspendale,8A Lawrence Av,2,t,711000,S,Hodges,22/07/2017,21.5,3195,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2824
Aspendale Gardens,12 Pacific Dr,4,h,840000,VB,Barry,22/07/2017,21.5,3195,4,2,2,383,,,Kingston City Council,-38.01958,145.12356,South-Eastern Metropolitan,2243
Avondale Heights,26 Clarendon St,4,h,665000,PI,Nelson,22/07/2017,9.5,3034,4,1,1,538,,,Moonee Valley City Council,-37.76518,144.85621,Western Metropolitan,4502
Avondale Heights,49 Ridge Dr,3,h,750000,PI,Barry,22/07/2017,9.5,3034,3,1,2,561,103,1990,Moonee Valley City Council,-37.7528,144.85585,Western Metropolitan,4502
Avondale Heights,55 Ridge Dr,5,h,800000,VB,Barry,22/07/2017,9.5,3034,5,2,3,577,166,1985,Moonee Valley City Council,-37.75261,144.85631,Western Metropolitan,4502
Balaclava,1/40 Sycamore Gr,1,u,,SP,Biggin,22/07/2017,6.4,3183,1,1,1,0,,,Port Phillip City Council,-37.87404,144.996,Southern Metropolitan,2952
Balwyn,7 Austin St,4,h,,SP,Noel,22/07/2017,7.9,3103,4,2,2,611,,,Boroondara City Council,-37.81098,145.0753,Southern Metropolitan,5682
Balwyn,9/3 Boston Rd,2,u,800000,S,Langwell,22/07/2017,7.9,3103,2,1,1,0,,1960,Boroondara City Council,-37.81675,145.07716,Southern Metropolitan,5682
Balwyn,5 Tedstone Cr,5,h,2400000,VB,Fletchers,22/07/2017,7.9,3103,5,3,2,785,,,Boroondara City Council,-37.81161,145.07622,Southern Metropolitan,5682
Balwyn North,7 Adeney St,5,h,2400000,VB,hockingstuart,22/07/2017,9.7,3104,5,4,2,742,262,1980,Boroondara City Council,-37.80218,145.10063,Southern Metropolitan,7809
Balwyn North,1120 Burke Rd,3,h,2668000,S,Noel,22/07/2017,9.7,3104,3,1,2,939,,,Boroondara City Council,-37.79494,145.06382,Southern Metropolitan,7809
Balwyn North,4 Carrington St,4,h,1750000,S,Jellis,22/07/2017,9.7,3104,4,1,2,683,,,Boroondara City Council,-37.80275,145.08412,Southern Metropolitan,7809
Balwyn North,67 Winfield Rd,4,h,1850000,SA,Fletchers,22/07/2017,9.7,3104,4,4,3,929,266,1960,Boroondara City Council,-37.79497,145.10538,Southern Metropolitan,7809
Bayswater,6 Larne Av,2,u,620000,S,First,22/07/2017,23.2,3153,,,,,,,Knox City Council,,,Eastern Metropolitan,5030
Beaconsfield,12 Windsor Dr,4,h,670000,SP,Harcourts,22/07/2017,39,3807,4,2,2,900,244,2005,Cardinia Shire Council,-38.05614,145.38464,Eastern Victoria,2332
Beaumaris,16A Coronet Gr,3,t,1850000,PI,McGrath,22/07/2017,17.3,3193,3,3,2,252,203,2007,Bayside City Council,-37.98453,145.02659,Southern Metropolitan,5366
Bellfield,9 Sullivan St,2,h,906000,S,Miles,22/07/2017,8.8,3081,2,1,1,617,109.98,1960,Banyule City Council,-37.7528,145.04444,Eastern Metropolitan,790
Bentleigh,11 Buckingham Av,3,h,1640000,S,Woodards,22/07/2017,11.4,3204,3,1,3,585,,,Glen Eira City Council,-37.91722,145.04836,Southern Metropolitan,6795
Bentleigh,34b Marquis Rd,4,t,1420000,VB,Buxton,22/07/2017,11.4,3204,,,,,,,Glen Eira City Council,,,Southern Metropolitan,6795
Bentleigh,22 Mortimore St,3,h,1610000,S,Buxton,22/07/2017,11.4,3204,3,2,2,672,,,Glen Eira City Council,-37.92768,145.04268,Southern Metropolitan,6795
Bentleigh,2/21 Vickery St,2,u,410000,PI,hockingstuart,22/07/2017,11.4,3204,2,1,1,834,75,1967,Glen Eira City Council,-37.91627,145.03892,Southern Metropolitan,6795
Bentleigh,12 Wood St,5,h,1500000,PI,hockingstuart,22/07/2017,11.4,3204,5,2,2,591,188,1950,Glen Eira City Council,-37.92211,145.0466,Southern Metropolitan,6795
Bentleigh East,1a Benina St,2,u,860000,S,hockingstuart,22/07/2017,13.8,3165,2,1,1,230,,1990,Glen Eira City Council,-37.9236,145.05913,Southern Metropolitan,10969
Berwick,2 Northgate Dr,4,h,775000,VB,O'Brien,22/07/2017,35.2,3806,4,2,2,520,,,Casey City Council,-38.06486,145.35031,Eastern Victoria,17093
Berwick,5 Russel Av,3,h,755000,S,O'Brien,22/07/2017,35.2,3806,3,2,2,840,,,Casey City Council,-38.02621,145.34635,Eastern Victoria,17093
Blackburn,1/21 Lithgow Av,2,u,,SN,Noel,22/07/2017,13.4,3130,2,1,1,218,,,Whitehorse City Council,-37.81846,145.148,Eastern Metropolitan,5713
Blackburn,488 Middleborough Rd,3,h,1020000,PI,Jellis,22/07/2017,13.4,3130,3,1,4,624,,,Whitehorse City Council,-37.81112,145.14043,Eastern Metropolitan,5713
Blackburn South,2A Stewart Av,3,h,874000,S,Fletchers,22/07/2017,13.4,3130,3,2,1,232,103,2014,Whitehorse City Council,-37.83574,145.14866,Eastern Metropolitan,4387
Boronia,41 Southey Rd,3,h,,SN,Barry,22/07/2017,25,3155,3,1,2,768,173,1987,Knox City Council,-37.8424,145.29434,Eastern Metropolitan,9704
Box Hill,8/1 Via Media,2,u,,SN,Woodards,22/07/2017,10.9,3128,2,1,1,151,94,1980,Whitehorse City Council,-37.825,145.13345,Eastern Metropolitan,4605
Braybrook,12/27 Marnoo St,3,t,560000,S,Sweeney,22/07/2017,8.6,3019,3,1,1,158,137,2002,Maribyrnong City Council,-37.78893,144.84652,Western Metropolitan,3589
Brighton East,4/3 Gleniffer Av,2,u,620000,S,Buxton,22/07/2017,10.3,3187,2,1,1,972,,,Bayside City Council,-37.93171,145.03041,Southern Metropolitan,6938
Brighton East,10 Grant St,3,h,1500000,S,Hodges,22/07/2017,10.3,3187,3,2,1,279,,1990,Bayside City Council,-37.9135,145.00846,Southern Metropolitan,6938
Brighton East,8 Robinson St,3,h,,SN,Follett,22/07/2017,10.3,3187,3,1,2,743,,,Bayside City Council,-37.91921,145.02008,Southern Metropolitan,6938
Broadmeadows,39 Blair St,1,h,1100000,VB,Stockdale,22/07/2017,14,3047,1,1,1,1312,,,Hume City Council,-37.6821,144.92773,Northern Metropolitan,4294
Broadmeadows,82 Cuthbert St,3,h,450000,S,YPA,22/07/2017,14,3047,3,1,1,0,100,1960,Hume City Council,-37.6841,144.92818,Northern Metropolitan,4294
Broadmeadows,4 Holberry St,3,h,560000,S,YPA,22/07/2017,14,3047,3,1,1,639,,,Hume City Council,-37.69142,144.93025,Northern Metropolitan,4294
Brunswick,148 Donald St,3,h,1120000,S,Raine,22/07/2017,5.2,3056,3,1,1,322,107,1920,Moreland City Council,-37.75887,144.97326,Northern Metropolitan,11918
Brunswick,54 Dunstan Av,2,h,1110000,S,Jellis,22/07/2017,5.2,3056,2,1,0,196,101,1922,Moreland City Council,-37.75815,144.97366,Northern Metropolitan,11918
Brunswick,9 First Av,3,h,1260000,S,Jellis,22/07/2017,5.2,3056,3,2,1,470,,,Moreland City Council,-37.7556,144.95729,Northern Metropolitan,11918
Brunswick,24 Mitchell St,4,h,1790000,S,Nelson,22/07/2017,5.2,3056,4,3,6,733,238,1950,Moreland City Council,-37.759,144.96623,Northern Metropolitan,11918
Brunswick East,408/1 Brunswick Rd,1,u,390500,SP,Ray,22/07/2017,4,3057,1,1,1,0,49,2011,Moreland City Council,-37.77883,144.9776,Northern Metropolitan,5533
Brunswick East,315/408 Lygon St,1,u,370000,VB,Jellis,22/07/2017,4,3057,,,,,,,Moreland City Council,-37.76497,144.97306,Northern Metropolitan,5533
Brunswick West,1/78 Melville Rd,2,t,592000,SA,Nelson,22/07/2017,5.2,3055,,,,,,,Moreland City Council,,,Northern Metropolitan,7082
Bundoora,22 Alma Rd,4,h,800000,SP,Ray,22/07/2017,12.1,3083,4,1,1,535,132,,Banyule City Council,-37.69847,145.0601,Northern Metropolitan,10175
Bundoora,43 Cheadle Cr,5,h,999000,S,Ray,22/07/2017,12.1,3083,5,2,2,627,268,1991,Banyule City Council,-37.69264,145.0799,Northern Metropolitan,10175
Bundoora,398 Grimshaw St,3,h,680000,S,Barry,22/07/2017,12.1,3083,3,1,3,539,,,Banyule City Council,-37.7015,145.07548,Northern Metropolitan,10175
Burwood East,35 Lenna St,3,h,,SN,hockingstuart,22/07/2017,14.7,3151,3,1,2,665,136,1950,Whitehorse City Council,-37.85425,145.13734,Eastern Metropolitan,4048
Cairnlea,17 Blackwood Ct,4,h,750000,PI,Ray,22/07/2017,14.8,3023,4,2,2,447,,,Brimbank City Council,-37.75637,144.77983,Western Metropolitan,2674
Camberwell,4 Lynden St,3,h,1830000,S,Ham,22/07/2017,7.7,3124,3,2,4,605,,,Boroondara City Council,-37.83856,145.08602,Southern Metropolitan,8920
Camberwell,17 Through Rd,2,h,,S,Rounds,22/07/2017,7.7,3124,2,1,2,623,114,1940,Boroondara City Council,-37.84757,145.08815,Southern Metropolitan,8920
Carlton,66 Palmerston St,3,h,920000,S,Nelson,22/07/2017,1.6,3053,3,1,0,98,,,Melbourne City Council,-37.79633,144.97269,Northern Metropolitan,6786
Carlton,1/249 Rathdowne St,2,u,,SP,Woodards,22/07/2017,1.6,3053,2,2,1,0,128,1992,Melbourne City Council,-37.80128,144.96957,Northern Metropolitan,6786
Carlton North,51 Davis St,3,h,1400000,VB,Jellis,22/07/2017,3.5,3054,3,2,0,107,,,Melbourne City Council,-37.79213,144.97207,Northern Metropolitan,3106
Carnegie,5/9 Cosy Gum Rd,2,u,796000,S,Thomson,22/07/2017,10.1,3163,2,1,2,0,86,1975,Glen Eira City Council,-37.88415,145.0514,Southern Metropolitan,7822
Carnegie,1/242 Koornang Rd,2,u,,PN,Gary,22/07/2017,10.1,3163,2,1,2,0,104,1970,Glen Eira City Council,-37.89444,145.05625,Southern Metropolitan,7822
Carnegie,3/1 Milton St,2,u,,SP,hockingstuart,22/07/2017,10.1,3163,2,1,1,1083,,1970,Glen Eira City Council,-37.88605,145.04986,Southern Metropolitan,7822
Carnegie,7 Porter Rd,3,h,,SN,Gary,22/07/2017,10.1,3163,3,1,2,585,,,Glen Eira City Council,-37.89428,145.05733,Southern Metropolitan,7822
